time,lat,lon,count
2019-08-14 12:46:17,31.95,118.75,40
2019-08-14 12:46:17,31.55,119.15,3
2019-08-14 12:46:17,32.0,118.9,3
2019-08-14 12:46:17,32.0,118.85,63
2019-08-14 12:46:17,31.95,118.55,5
2019-08-14 12:46:17,31.55,118.55,5
2019-08-14 12:46:17,32.35,118.9,3
2019-08-14 12:46:17,31.95,118.75,43
2019-08-14 12:46:17,31.95,118.8,21
2019-08-14 12:46:17,31.85,118.95,4
2019-08-14 12:46:17,32.2,118.55,5
2019-08-14 12:46:17,32.05,118.75,134
2019-08-14 12:46:17,32.0,118.65,13
2019-08-14 12:46:17,31.25,118.35,12
2019-08-14 12:46:17,31.2,118.35,1
2019-08-14 12:46:17,32.3,118.35,29
2019-08-14 12:46:17,31.55,119.05,3
2019-08-14 12:46:17,32.05,118.9,65
2019-08-14 12:46:17,32.05,118.75,148
2019-08-14 12:46:17,32.2,118.45,1
2019-08-14 12:46:17,31.65,118.95,5
2019-08-14 12:46:17,31.9,118.7,3
2019-08-14 12:46:17,31.9,118.65,1
2019-08-14 12:46:17,32.05,118.8,4
2019-08-14 12:46:17,32.15,118.4,1
2019-08-14 12:46:17,31.95,118.85,9
2019-08-14 12:46:17,31.95,118.9,2
2019-08-14 12:46:17,31.6,119.05,4
2019-08-14 12:46:17,32.05,118.75,353
2019-08-14 12:46:17,31.7,118.9,12
2019-08-14 12:46:17,32.0,118.85,22
2019-08-14 12:46:17,31.6,118.7,2
2019-08-14 12:46:17,31.4,118.4,2
2019-08-14 12:46:17,31.85,118.55,6
2019-08-14 12:46:17,31.45,118.95,1
2019-08-14 12:46:17,31.95,119.25,1
2019-08-14 12:46:17,32.25,119.1,5
2019-08-14 12:46:17,32.15,119.2,7
2019-08-14 12:46:17,31.45,119.1,1
2019-08-14 12:46:17,31.35,118.9,9
2019-08-14 12:46:17,31.9,118.75,11
2019-08-14 12:46:17,31.55,118.85,1
2019-08-14 12:46:17,31.7,118.5,31
2019-08-14 12:46:17,31.8,118.75,15
2019-08-14 12:46:17,32.05,118.6,34
2019-08-14 12:46:17,32.2,118.25,2
2019-08-14 12:46:17,32.05,119.0,5
2019-08-14 12:46:17,31.55,119.15,3
2019-08-14 12:46:17,31.9,118.9,1
2019-08-14 12:46:17,31.9,118.85,64
2019-08-14 12:46:17,31.25,118.45,3
2019-08-14 12:46:17,31.95,118.65,6
2019-08-14 12:46:17,31.45,118.4,14
2019-08-14 12:46:17,32.05,118.6,108
2019-08-14 12:46:17,31.95,118.3,1
2019-08-14 12:46:17,32.05,118.85,17
2019-08-14 12:46:17,32.0,118.75,101
2019-08-14 12:46:17,31.45,119.2,3
2019-08-14 12:46:17,31.85,118.3,3
2019-08-14 12:46:17,31.3,118.95,2
2019-08-14 12:46:17,31.95,119.1,3
2019-08-14 12:46:17,31.6,118.45,2
2019-08-14 12:46:17,31.6,118.5,18
2019-08-14 12:46:17,32.1,119.0,7
2019-08-14 12:46:17,31.75,118.8,4
2019-08-14 12:46:17,31.75,118.75,1
2019-08-14 12:46:17,31.75,118.55,3
2019-08-14 12:46:17,31.25,118.65,1
2019-08-14 12:46:17,32.3,118.9,2
2019-08-14 12:46:17,31.35,118.35,16
2019-08-14 12:46:17,31.45,118.25,2
2019-08-14 12:46:17,31.35,118.35,10
2019-08-14 12:46:17,32.2,118.7,58
2019-08-14 12:46:17,32.05,118.95,3
2019-08-14 12:46:17,32.0,118.85,29
2019-08-14 12:46:17,32.0,118.9,3
2019-08-14 12:46:17,31.4,118.65,3
2019-08-14 12:46:17,32.3,119.05,2
2019-08-14 12:46:17,31.45,118.95,2
2019-08-14 12:46:17,31.95,118.65,2
2019-08-14 12:46:17,32.25,119.1,18
2019-08-14 12:46:17,31.3,118.35,35
2019-08-14 12:46:17,32.25,119.2,2
2019-08-14 12:46:17,31.3,118.3,1
2019-08-14 12:46:17,32.1,118.8,46
2019-08-14 12:46:17,31.4,118.25,6
2019-08-14 12:46:17,31.7,118.65,1
2019-08-14 12:46:17,32.05,118.45,2
2019-08-14 12:46:17,31.35,118.3,2
2019-08-14 12:46:17,32.0,118.5,4
2019-08-14 12:46:17,31.75,118.6,2
2019-08-14 12:46:17,31.65,118.5,37
